,Model name,X_train,X_test,X_test1,X_test2,X_test3,X_test4,Epochs,Number of parameters,Batches,Learning rate,Train duration,Rotation range,Shear range,Shift range,Hor flip,Ver flip,Zoom range,Fill mode,Number of classes,Regularization Strength
0,25.11.2017 1:38:8,0.32432432432432434,0.37342342342342344,0.3063063063063063,0.9405405405405406,0.10270270270270271,0.14414414414414414,10000,7609327,64,0.002,9833,0,0,0.4,True,True,"[0.55, 0.65]",reflect,111,0.01
0,25.11.2017 4:23:54,0.5009009009009009,0.32747747747747746,0.3225225225225225,0.025225225225225224,0.809009009009009,0.15315315315315314,10000,7609327,64,0.002,9942,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 7:9:14,0.990990990990991,0.5743243243243243,0.9477477477477477,0.05225225225225225,0.35315315315315315,0.9441441441441442,10000,7609327,64,0.002,9917,180,0,0.4,True,True,0,reflect,111,0.01
0,25.11.2017 15:19:45,0.4144144144144144,0.2851351351351351,0.26846846846846845,0.023423423423423424,0.7063063063063063,0.14234234234234233,1000,7609327,64,0.002,978,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 15:38:19,0.42702702702702705,0.2963963963963964,0.2756756756756757,0.021621621621621623,0.7441441441441441,0.14414414414414414,1000,7609327,64,0.002,967,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 15:44:8,0.3621621621621622,0.2626126126126126,0.24684684684684685,0.016216216216216217,0.6468468468468469,0.14054054054054055,200,7609327,64,0.002,194,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 15:48:4,0.44144144144144143,0.29504504504504503,0.26846846846846845,0.032432432432432434,0.7495495495495496,0.12972972972972974,200,7609327,64,0.002,191,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 15:53:45,0.35495495495495494,0.22882882882882882,0.218018018018018,0.021621621621621623,0.5747747747747748,0.1009009009009009,200,7609327,64,0.002,194,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 16:0:8,0.24504504504504504,0.15585585585585585,0.16216216216216217,0.03423423423423423,0.35315315315315315,0.07387387387387387,200,7609327,64,0.002,191,0,0,0.0,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 16:11:42,0.23423423423423423,0.13693693693693693,0.12252252252252252,0.025225225225225224,0.34594594594594597,0.05405405405405406,200,7609327,64,0.002,194,0,0,0.0,True,True,"[1.45, 1.55]",wrap,111,0.01
0,25.11.2017 16:21:49,0.12432432432432433,0.07657657657657657,0.08288288288288288,0.02882882882882883,0.12432432432432433,0.07027027027027027,200,7609327,64,0.002,194,0,0,0.0,True,True,"[1.45, 1.55]",nearest,111,0.01
0,25.11.2017 16:30:10,0.06126126126126126,0.04684684684684685,0.04684684684684685,0.01981981981981982,0.0972972972972973,0.023423423423423424,200,7609327,64,0.002,189,0,0,0.0,True,True,"[1.45, 1.55]",constant,111,0.01
0,25.11.2017 16:33:10,0.17657657657657658,0.11711711711711711,0.11171171171171171,0.02702702702702703,0.27387387387387385,0.055855855855855854,200,2878063,64,0.002,134,0,0,0.0,True,True,"[1.45, 1.55]",constant,111,0.01
0,25.11.2017 17:2:50,0.46126126126126127,0.30855855855855857,0.2936936936936937,0.018018018018018018,0.7603603603603604,0.16216216216216217,200,7608815,64,0.002,201,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 17:10:53,0.4144144144144144,0.2756756756756757,0.27927927927927926,0.02702702702702703,0.6360360360360361,0.16036036036036036,200,7608815,64,0.002,202,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 17:15:17,0.5495495495495496,0.3342342342342342,0.37117117117117115,0.025225225225225224,0.7441441441441441,0.1963963963963964,200,7608815,64,0.002,203,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 17:19:51,0.4126126126126126,0.3076576576576577,0.2972972972972973,0.025225225225225224,0.7315315315315315,0.17657657657657658,200,26137199,64,0.002,208,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 17:43:28,0.5891891891891892,0.37747747747747745,0.436036036036036,0.032432432432432434,0.8036036036036036,0.23783783783783785,1000,7608815,64,0.002,1012,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 18:1:18,0.4648648648648649,0.31576576576576576,0.2882882882882883,0.021621621621621623,0.7261261261261261,0.22702702702702704,1000,7608815,64,0.001,1015,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 18:44:53,0.5459459459459459,0.36576576576576575,0.40540540540540543,0.036036036036036036,0.8306306306306306,0.19099099099099098,1000,7609327,64,0.002,1009,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
0,25.11.2017 21:57:27,0.5675675675675675,0.3747747747747748,0.38198198198198197,0.05045045045045045,0.8900900900900901,0.17657657657657658,10000,7609327,64,0.002,9999,0,0,0.3,True,True,"[1.45, 1.55]",reflect,111,0.01
